Question,Disagree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly
You regularly make new friends.,-3,-2,-1,0,1,2,3
Complex and novel ideas excite you more than simple and straightforward ones.,-3,-2,-1,0,1,2,3
You usually feel more persuaded by what resonates emotionally with you than by factual arguments.,-3,-2,-1,0,1,2,3
Your living and working spaces are clean and organized.,-3,-2,-1,0,1,2,3
"You usually stay calm, even under a lot of pressure.",-3,-2,-1,0,1,2,3
You find the idea of networking or promoting yourself to strangers very daunting.,-3,-2,-1,0,1,2,3
"You prioritize and plan tasks effectively, often completing them well before the deadline.",-3,-2,-1,0,1,2,3
People’s stories and emotions speak louder to you than numbers or data.,-3,-2,-1,0,1,2,3
You like to use organizing tools like schedules and lists.,-3,-2,-1,0,1,2,3
Even a small mistake can cause you to doubt your overall abilities and knowledge.,-3,-2,-1,0,1,2,3
You feel comfortable just walking up to someone you find interesting and striking up a conversation.,-3,-2,-1,0,1,2,3
You are not too interested in discussions about various interpretations of creative works.,-3,-2,-1,0,1,2,3
You prioritize facts over people’s feelings when determining a course of action.,-3,-2,-1,0,1,2,3
You often allow the day to unfold without any schedule at all.,-3,-2,-1,0,1,2,3
You rarely worry about whether you make a good impression on people you meet.,-3,-2,-1,0,1,2,3
You enjoy participating in team-based activities.,-3,-2,-1,0,1,2,3
You enjoy experimenting with new and untested approaches.,-3,-2,-1,0,1,2,3
You prioritize being sensitive over being completely honest.,-3,-2,-1,0,1,2,3
You actively seek out new experiences and knowledge areas to explore.,-3,-2,-1,0,1,2,3
You are prone to worrying that things will take a turn for the worse.,-3,-2,-1,0,1,2,3
You enjoy solitary hobbies or activities more than group ones.,-3,-2,-1,0,1,2,3
You cannot imagine yourself writing fictional stories for a living.,-3,-2,-1,0,1,2,3
"You favor efficiency in decisions, even if it means disregarding some emotional aspects.",-3,-2,-1,0,1,2,3
You prefer to do your chores before allowing yourself to relax.,-3,-2,-1,0,1,2,3
"In disagreements, you prioritize proving your point over preserving the feelings of others.",-3,-2,-1,0,1,2,3
You usually wait for others to introduce themselves first at social gatherings.,-3,-2,-1,0,1,2,3
Your mood can change very quickly.,-3,-2,-1,0,1,2,3
You are not easily swayed by emotional arguments.,-3,-2,-1,0,1,2,3
You often end up doing things at the last possible moment.,-3,-2,-1,0,1,2,3
You enjoy debating ethical dilemmas.,-3,-2,-1,0,1,2,3
You usually prefer to be around others rather than on your own.,-3,-2,-1,0,1,2,3
You become bored or lose interest when the discussion gets highly theoretical.,-3,-2,-1,0,1,2,3
"When facts and feelings conflict, you usually find yourself following your heart.",-3,-2,-1,0,1,2,3
You find it challenging to maintain a consistent work or study schedule.,-3,-2,-1,0,1,2,3
You rarely second-guess the choices that you have made.,-3,-2,-1,0,1,2,3
Your friends would describe you as lively and outgoing.,-3,-2,-1,0,1,2,3
"You are drawn to various forms of creative expression, such as writing.",-3,-2,-1,0,1,2,3
You usually base your choices on objective facts rather than emotional impressions.,-3,-2,-1,0,1,2,3
You like to have a to-do list for each day.,-3,-2,-1,0,1,2,3
You rarely feel insecure.,-3,-2,-1,0,1,2,3
You avoid making phone calls.,-3,-2,-1,0,1,2,3
You enjoy exploring unfamiliar ideas and viewpoints.,-3,-2,-1,0,1,2,3
You can easily connect with people you have just met.,-3,-2,-1,0,1,2,3
"If your plans are interrupted, your top priority is to get back on track as soon as possible.",-3,-2,-1,0,1,2,3
You are still bothered by mistakes that you made a long time ago.,-3,-2,-1,0,1,2,3
You are not too interested in discussing theories on what the world could look like in the future.,-3,-2,-1,0,1,2,3
Your emotions control you more than you control them.,-3,-2,-1,0,1,2,3
"When making decisions, you focus more on how the affected people might feel than on what is most logical or efficient.",-3,-2,-1,0,1,2,3
Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.,-3,-2,-1,0,1,2,3
"When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you.",-3,-2,-1,0,1,2,3
You would love a job that requires you to work alone most of the time.,-3,-2,-1,0,1,2,3
You believe that pondering abstract philosophical questions is a waste of time.,-3,-2,-1,0,1,2,3
"You feel more drawn to busy, bustling atmospheres than to quiet, intimate places.",-3,-2,-1,0,1,2,3
"If a decision feels right to you, you often act on it without needing further proof.",-3,-2,-1,0,1,2,3
You often feel overwhelmed.,-3,-2,-1,0,1,2,3
You complete things methodically without skipping over any steps.,-3,-2,-1,0,1,2,3
You prefer tasks that require you to come up with creative solutions rather than follow concrete steps.,-3,-2,-1,0,1,2,3
You are more likely to rely on emotional intuition than logical reasoning when making a choice.,-3,-2,-1,0,1,2,3
You struggle with deadlines.,-3,-2,-1,0,1,2,3
You feel confident that things will work out for you.,-3,-2,-1,0,1,2,3
